10-08-2023_16-52890 Pause button clicked
10-08-2023_16-521112 Pause button clicked
10-08-2023_16-521460 Key Point mode selected
10-08-2023_16-523129 Line drawing mode selected
10-08-2023_16-523345 Left click initiated on Joy (UnityEngine.Canvas) canvas
10-08-2023_16-523345 Line auto-connected to start of Joy (UnityEngine.Canvas) canvas
10-08-2023_16-524211 Left click initiated on Fear (UnityEngine.Canvas) canvas
10-08-2023_16-524211 Line auto-connected to start of Fear (UnityEngine.Canvas) canvas
10-08-2023_16-525004 Left click initiated on Relaxation (UnityEngine.Canvas) canvas
10-08-2023_16-525004 Line auto-connected to start of Relaxation (UnityEngine.Canvas) canvas
10-08-2023_16-525835 Left click initiated on Boredom (UnityEngine.Canvas) canvas
10-08-2023_16-525835 Line auto-connected to start of Boredom (UnityEngine.Canvas) canvas
10-08-2023_16-536484 Left click initiated on Presence (UnityEngine.Canvas) canvas
10-08-2023_16-536484 Line auto-connected to start of Presence (UnityEngine.Canvas) canvas
10-08-2023_16-537075 Slider clicked
10-08-2023_16-537088 Slider snapped to keypoint
10-08-2023_16-537088 Slider snapped to keypoint
10-08-2023_16-537089 Slider snapped to keypoint
10-08-2023_16-537089 Slider snapped to keypoint
10-08-2023_16-537090 Slider snapped to keypoint
10-08-2023_16-537090 Slider snapped to keypoint
10-08-2023_16-537091 Slider snapped to keypoint
10-08-2023_16-537091 Slider snapped to keypoint
10-08-2023_16-537092 Slider snapped to keypoint
10-08-2023_16-537092 Slider snapped to keypoint
10-08-2023_16-537100 Slider snapped to keypoint
10-08-2023_16-537100 Slider snapped to keypoint
10-08-2023_16-537101 Slider snapped to keypoint
10-08-2023_16-537101 Slider snapped to keypoint
10-08-2023_16-537102 Slider snapped to keypoint
10-08-2023_16-537102 Slider snapped to keypoint
10-08-2023_16-537103 Slider snapped to keypoint
10-08-2023_16-537103 Slider snapped to keypoint
10-08-2023_16-537104 Slider snapped to keypoint
10-08-2023_16-537104 Slider snapped to keypoint
10-08-2023_16-537105 Slider snapped to keypoint
10-08-2023_16-537105 Slider snapped to keypoint
10-08-2023_16-537106 Slider snapped to keypoint
10-08-2023_16-537106 Slider snapped to keypoint
10-08-2023_16-537109 Slider snapped to keypoint
10-08-2023_16-537109 Slider snapped to keypoint
10-08-2023_16-537110 Slider snapped to keypoint
10-08-2023_16-537110 Slider snapped to keypoint
10-08-2023_16-537111 Slider snapped to keypoint
10-08-2023_16-537111 Slider snapped to keypoint
10-08-2023_16-537112 Slider snapped to keypoint
10-08-2023_16-537112 Slider snapped to keypoint
10-08-2023_16-537113 Slider snapped to keypoint
10-08-2023_16-537113 Slider snapped to keypoint
10-08-2023_16-537113 Slider snapped to keypoint
10-08-2023_16-537113 Slider snapped to keypoint
10-08-2023_16-537114 Slider snapped to keypoint
10-08-2023_16-537114 Slider snapped to keypoint
10-08-2023_16-537114 Slider snapped to keypoint
10-08-2023_16-537114 Slider snapped to keypoint
10-08-2023_16-537115 Slider snapped to keypoint
10-08-2023_16-537115 Slider snapped to keypoint
10-08-2023_16-537115 Slider snapped to keypoint
10-08-2023_16-537115 Slider snapped to keypoint
10-08-2023_16-537116 Slider snapped to keypoint
10-08-2023_16-537116 Slider snapped to keypoint
10-08-2023_16-537116 Slider snapped to keypoint
10-08-2023_16-537116 Slider snapped to keypoint
10-08-2023_16-537117 Slider snapped to keypoint
10-08-2023_16-537117 Slider snapped to keypoint
10-08-2023_16-537117 Slider snapped to keypoint
10-08-2023_16-537117 Slider snapped to keypoint
10-08-2023_16-537118 Slider snapped to keypoint
10-08-2023_16-537118 Slider snapped to keypoint
10-08-2023_16-537118 Slider snapped to keypoint
10-08-2023_16-537118 Slider snapped to keypoint
10-08-2023_16-537119 Slider snapped to keypoint
10-08-2023_16-537119 Slider snapped to keypoint
10-08-2023_16-537119 Slider snapped to keypoint
10-08-2023_16-537119 Slider snapped to keypoint
10-08-2023_16-537140 Slider snapped to keypoint
10-08-2023_16-537140 Slider snapped to keypoint
10-08-2023_16-537140 Slider snapped to keypoint
10-08-2023_16-537140 Slider snapped to keypoint
10-08-2023_16-537141 Slider snapped to keypoint
10-08-2023_16-537141 Slider snapped to keypoint
10-08-2023_16-537142 Slider snapped to keypoint
10-08-2023_16-537142 Slider snapped to keypoint
10-08-2023_16-537142 Slider snapped to keypoint
10-08-2023_16-537142 Slider snapped to keypoint
10-08-2023_16-537143 Slider snapped to keypoint
10-08-2023_16-537143 Slider snapped to keypoint
10-08-2023_16-537144 Slider snapped to keypoint
10-08-2023_16-537144 Slider snapped to keypoint
10-08-2023_16-537144 Slider snapped to keypoint
10-08-2023_16-537144 Slider snapped to keypoint
10-08-2023_16-537145 Slider snapped to keypoint
10-08-2023_16-537145 Slider snapped to keypoint
10-08-2023_16-537145 Slider snapped to keypoint
10-08-2023_16-537145 Slider snapped to keypoint
10-08-2023_16-537146 Slider snapped to keypoint
10-08-2023_16-537146 Slider snapped to keypoint
10-08-2023_16-537147 Slider snapped to keypoint
10-08-2023_16-537147 Slider snapped to keypoint
10-08-2023_16-537147 Slider snapped to keypoint
10-08-2023_16-537147 Slider snapped to keypoint
10-08-2023_16-537148 Slider snapped to keypoint
10-08-2023_16-537148 Slider snapped to keypoint
10-08-2023_16-537149 Slider snapped to keypoint
10-08-2023_16-537149 Slider snapped to keypoint
10-08-2023_16-537149 Slider snapped to keypoint
10-08-2023_16-537149 Slider snapped to keypoint
10-08-2023_16-537150 Slider snapped to keypoint
10-08-2023_16-537150 Slider snapped to keypoint
10-08-2023_16-537151 Slider snapped to keypoint
10-08-2023_16-537151 Slider snapped to keypoint
10-08-2023_16-537151 Slider snapped to keypoint
10-08-2023_16-537151 Slider snapped to keypoint
10-08-2023_16-537152 Slider snapped to keypoint
10-08-2023_16-537152 Slider snapped to keypoint
10-08-2023_16-537153 Slider snapped to keypoint
10-08-2023_16-537153 Slider snapped to keypoint
10-08-2023_16-537153 Slider snapped to keypoint
10-08-2023_16-537153 Slider snapped to keypoint
10-08-2023_16-537154 Slider snapped to keypoint
10-08-2023_16-537154 Slider snapped to keypoint
10-08-2023_16-537154 Slider snapped to keypoint
10-08-2023_16-537154 Slider snapped to keypoint
10-08-2023_16-537165 Slider snapped to keypoint
10-08-2023_16-537165 Slider snapped to keypoint
10-08-2023_16-537165 Slider snapped to keypoint
10-08-2023_16-537165 Slider snapped to keypoint
10-08-2023_16-537166 Slider snapped to keypoint
10-08-2023_16-537166 Slider snapped to keypoint
10-08-2023_16-537167 Slider snapped to keypoint
10-08-2023_16-537167 Slider snapped to keypoint
10-08-2023_16-537167 Slider snapped to keypoint
10-08-2023_16-537167 Slider snapped to keypoint
10-08-2023_16-537168 Slider snapped to keypoint
10-08-2023_16-537168 Slider snapped to keypoint
