frame, datetime, event, canvas, X, Y, mouseX, mouseY, video time
1716,17-08-2023 10:23:50.974,Pause button clicked,,,,,,0
2117,17-08-2023 10:23:58.523,Fast forward button clicked,,,,,,7.5
2167,17-08-2023 10:23:59.832,Fast forward button clicked,,,,,,18.5
2205,17-08-2023 10:24:00.776,Fast forward button clicked,,,,,,29.0333333333333
2369,17-08-2023 10:24:04.500,Pause button clicked,,,,,,42.2666666666667
2510,17-08-2023 10:24:07.078,Key Point mode selected,,,,,,42.3333333333333
2616,17-08-2023 10:24:09.107,Key Point plotted,Joy,46.88304,7.76456,15.22391,5.643559,42.3333333333333
2698,17-08-2023 10:24:10.693,Key Point plotted,Fear,40.31848,3.225279,15.17176,3.035997,42.3333333333333
2773,17-08-2023 10:24:12.176,Key Point plotted,Relaxation,35.39502,4.470557,15.13265,1.419308,42.3333333333333
2876,17-08-2023 10:24:14.147,Key Point plotted,Boredom,43.6007,2.841291,15.19784,-0.6797788,42.3333333333333
2946,17-08-2023 10:24:15.600,Key Point plotted,Presence,38.67724,6.638932,15.15872,-1.879257,42.3333333333333
2949,17-08-2023 10:24:15.667,5 valid points found annotation window shown,,,,15.18642,,42.3333333333333
3724,17-08-2023 10:24:29.134,Annotation written: Nice windy road​,,,,,,42.3333333333333
4155,17-08-2023 10:24:36.807,Pause button clicked,,,,,,42.3333333333333
4363,17-08-2023 10:24:40.815,Pause button clicked,,,,,,46.3333333333333
4491,17-08-2023 10:24:43.316,Slider clicked,,,,,,46.3333333333333
4577,17-08-2023 10:24:45.588,Slider released,,,,,,46.3333333333333
4779,17-08-2023 10:24:49.530,Key Point plotted,Joy,148.6329,5.937856,16.03226,5.330651,148.433333333333
4837,17-08-2023 10:24:50.717,Key Point plotted,Fear,155.1976,6.726458,16.08441,3.635736,148.433333333333
4878,17-08-2023 10:24:51.594,Key Point plotted,Relaxation,148.6329,7.134498,16.03226,1.875632,148.433333333333
4917,17-08-2023 10:24:52.402,Key Point plotted,Boredom,140.4272,6.038022,15.96707,-0.1321907,148.433333333333
4966,17-08-2023 10:24:53.543,Key Point plotted,Presence,145.3506,5.649467,16.00618,-2.048749,148.433333333333
4988,17-08-2023 10:24:54.005,5 valid points found annotation window shown,,,,16.0293,,148.433333333333
5543,17-08-2023 10:25:04.099,Annotation written: Scary cliffs​,,,,,,148.433333333333
5777,17-08-2023 10:25:08.435,Slider clicked,,,,,,148.433333333333
5819,17-08-2023 10:25:09.606,Slider released,,,,,,148.433333333333
5941,17-08-2023 10:25:12.139,Pause button clicked,,,,,,227.866666666667
6072,17-08-2023 10:25:14.706,Fast forward button clicked,,,,,,230.4
6089,17-08-2023 10:25:15.149,Fast forward button clicked,,,,,,240.566666666667
6120,17-08-2023 10:25:15.867,Fast forward button clicked,,,,,,251
6156,17-08-2023 10:25:16.663,Fast forward button clicked,,,,,,261.5
6209,17-08-2023 10:25:17.955,Fast forward button clicked,,,,,,272.433333333333
6242,17-08-2023 10:25:18.733,Fast forward button clicked,,,,,,282.9
6257,17-08-2023 10:25:19.175,Fast forward button clicked,,,,,,282.9
6302,17-08-2023 10:25:20.107,Fast forward button clicked,,,,,,293.8
6312,17-08-2023 10:25:20.383,Fast forward button clicked,,,,,,293.8
6318,17-08-2023 10:25:20.607,Fast forward button clicked,,,,,,293.8
6344,17-08-2023 10:25:21.237,Fast forward button clicked,,,,,,304.3
6353,17-08-2023 10:25:21.504,Fast forward button clicked,,,,,,304.3
6395,17-08-2023 10:25:22.512,Fast forward button clicked,,,,,,314.933333333333
6422,17-08-2023 10:25:23.184,Fast forward button clicked,,,,,,325.5
6451,17-08-2023 10:25:23.905,Fast forward button clicked,,,,,,336.033333333333
6595,17-08-2023 10:25:27.186,Pause button clicked,,,,,,349.166666666667
6944,17-08-2023 10:25:33.251,Key Point plotted,Joy,350.4918,7.307886,17.63591,5.565332,349.166666666667
7031,17-08-2023 10:25:34.978,Key Point plotted,Fear,352.1327,6.041442,17.64894,3.518395,349.166666666667
7100,17-08-2023 10:25:36.315,Key Point plotted,Relaxation,352.1327,8.504523,17.64894,2.110312,349.166666666667
7207,17-08-2023 10:25:38.624,Key Point plotted,Boredom,352.1327,5.200782,17.64894,-0.2756069,349.166666666667
7277,17-08-2023 10:25:40.007,Key Point plotted,Presence,352.1327,8.085069,17.64894,-1.631539,349.166666666667
7292,17-08-2023 10:25:40.395,5 valid points found annotation window shown,,,,17.62198,,349.166666666667
7878,17-08-2023 10:25:50.457,Annotation written: Pretty landscape​,,,,,,349.166666666667
8009,17-08-2023 10:25:52.837,Line drawing mode selected,,,,,,349.166666666667
8235,17-08-2023 10:25:56.877,Left click initiated,Joy,5.854873,7.76456,14.89797,5.643559,349.166666666667
