Time (s),Joy Line,Joy KeyPoint,Fear Line,Fear KeyPoint,Relaxation Line,Relaxation KeyPoint,Boredom Line,Boredom KeyPoint,Presence Line,Presence KeyPoint, Annotation
0,1.817635,,0,,0,,0,,0,,
1,1.817635,,0,,0,,0,,0,,
2,1.817635,,0,,0,,0,,0,,
3,1.817635,,0,,0,,0,,0,,
4,1.817635,,0,,0,,0,,0,,
5,1.817635,,0,,0,,0,,0,,
6,1.817635,,0,,0,,0,,0,,
7,1.817635,,0,,0,,0,,0,,
8,1.817635,,0,,0,,0,,0,,
9,1.817635,,0,,0,,0,,0,,
10,1.817635,,0,,0,,0,,0,,
11,1.817635,,0,,0,,0,,0,,
12,1.817635,,0,,0,,0,,0,,
13,1.817635,,0,,0,,0,,0,,
14,1.817635,,0,,0,,0,,0,,
15,1.817635,,0,,0,,0,,0,,
16,1.817635,,0,,0,,0,,0,,
17,1.817635,,0,,0,,0,,0,,
18,1.817635,,0,,0,,0,,0,,
19,1.817635,,0,,0,,0,,0,,
20,1.817635,,0,,0,,0,,0,,
21,1.817635,,0,,0,,0,,0,,
22,1.817635,,0,,0,,0,,0,,
23,1.817635,,0,,0,,0,,0,,
24,1.817635,,0,,0,,0,,0,,
25,1.817635,,0,,0,,0,,0,,
26,1.817635,,0,,0,,0,,0,,
27,1.817635,,0,,0,,0,,0,,
28,1.817635,,0,,0,,0,,0,,
29,1.817635,,0,,0,,0,,0,,
30,1.817635,,0,,0,,0,,0,,
31,1.817635,,0,,0,,0,,0,,
32,1.817635,,0,,0,,0,,0,,
33,1.817635,,0,,0,,0,,0,,
34,1.817635,,0,,0,,0,,0,,
35,1.817635,,0,,0,,0,,0,,
36,1.817635,,0,,0,,0,,0,,
37,1.817635,,0,,0,,0,,0,,
38,1.817635,,0,,0,,0,,0,,
39,1.817635,,0,,0,,0,,0,,
40,1.817635,,0,,0,,0,,0,,
41,1.817635,,0,,0,,0,,0,,
42,1.817635,,0,,0,,0,,0,,
43,1.817635,,0,,0,,0,,0,,
44,1.817635,,0,,0,,0,,0,,
45,1.817635,,0,,0,,0,,0,,
46,1.817635,,0,,0,,0,,0,,
47,1.817635,,0,,0,,0,,0,,
48,1.817635,,0,,0,,0,,0,,
49,1.817635,,0,,0,,0,,0,,
50,1.817635,,0,,0,,0,,0,,
51,1.817635,,0,,0,,0,,0,,
52,1.817635,,0,,0,,0,,0,,
53,1.817635,,0,,0,,0,,0,,
54,1.817635,,0,,0,,0,,0,,
55,1.817635,,0,,0,,0,,0,,
56,1.817635,,0,,0,,0,,0,,
57,1.817635,,0,,0,,0,,0,,
58,1.851488,,0,,0,,0,,0,,
59,1.959706,,0,,0,,0,,0,,
60,2.067923,,0,,0,,0,,0,,
61,2.176141,,0,,0,,0,,0,,
62,2.176141,,0,,0,,0,,0,,
63,2.374348,,0,,0,,0,,0,,
64,2.443915,,0,,0,,0,,0,,
65,2.443915,,0,,0,,0,,0,,
66,2.578333,,0,,0,,0,,0,,
67,2.628576,,0,,0,,0,,0,,
68,2.678819,,0,,0,,0,,0,,
69,2.729062,,0,,0,,0,,0,,
70,2.779305,,0,,0,,0,,0,,
71,2.829549,,0,,0,,0,,0,,
72,2.879792,,0,,0,,0,,0,,
73,2.930035,,0,,0,,0,,0,,
74,2.980278,,0,,0,,0,,0,,
75,3.030521,,0,,0,,0,,0,,
76,3.080764,,0,,0,,0,,0,,
77,3.131007,,0,,0,,0,,0,,
78,3.181251,,0,,0,,0,,0,,
79,3.231494,,0,,0,,0,,0,,
80,3.281737,,0,,0,,0,,0,,
81,3.33198,,0,,0,,0,,0,,
82,3.382223,,0,,0,,0,,0,,
83,3.432466,,0,,0,,0,,0,,
84,3.482709,,0,,0,,0,,0,,
85,3.482709,,0,,0,,0,,0,,
86,3.589988,,0,,0,,0,,0,,
87,3.647961,,0,,0,,0,,0,,
88,3.705934,,0,,0,,0,,0,,
89,3.763907,,0,,0,,0,,0,,
90,3.82188,,0,,0,,0,,0,,
91,3.82188,,0,,0,,0,,0,,
92,3.932914,,0,,0,,0,,0,,
93,3.979291,,0,,0,,0,,0,,
94,4.025669,,0,,0,,0,,0,,
95,4.072046,,0,,0,,0,,0,,
96,4.118423,,0,,0,,0,,0,,
97,4.164801,,0,,0,,0,,0,,
98,4.164801,,0,,0,,0,,0,,
99,4.252566,,0,,0,,0,,0,,
100,4.293791,,0,,0,,0,,0,,
101,4.335016,,0,,0,,0,,0,,
102,4.376242,,0,,0,,0,,0,,
103,4.417467,,0,,0,,0,,0,,
104,4.458692,,0,,0,,0,,0,,
105,4.499917,,0,,0,,0,,0,,
106,4.541142,,0,,0,,0,,0,,
107,4.582368,,0,,0,,0,,0,,
108,4.623593,,0,,0,,0,,0,,
109,4.664818,,0,,0,,0,,0,,
110,4.706043,,0,,0,,0,,0,,
111,4.747269,,0,,0,,0,,0,,
112,4.747269,,0,,0,,0,,0,,
113,4.826857,,0,,0,,0,,0,,
114,4.86164,,0,,0,,0,,0,,
115,4.896424,,0,,0,,0,,0,,
116,4.931207,,0,,0,,0,,0,,
117,4.965991,,0,,0,,0,,0,,
118,5.000775,,0,,0,,0,,0,,
119,5.000775,,0,,0,,0,,0,,
120,5.05887,,0,,0,,0,,0,,
121,5.082058,,0,,0,,0,,0,,
122,5.105247,,0,,0,,0,,0,,
123,5.128436,,0,,0,,0,,0,,
124,5.151624,,0,,0,,0,,0,,
125,5.151624,,0,,0,,0,,0,,
126,5.189742,,0,,0,,0,,0,,
127,5.197472,,0,,0,,0,,0,,
128,5.205202,,0,,0,,0,,0,,
129,5.212932,,0,,0,,0,,0,,
130,5.220662,,0,,0,,0,,0,,
131,5.228392,,0,,0,,0,,0,,
132,5.236122,,0,,0,,0,,0,,
133,5.243852,,0,,0,,0,,0,,
134,5.251583,,0,,0,,0,,0,,
135,5.251583,,0,,0,,0,,0,,
136,5.247293,,0,,0,,0,,0,,
137,5.231832,,0,,0,,0,,0,,
138,5.216372,,0,,0,,0,,0,,
139,5.216372,,0,,0,,0,,0,,
140,5.18506,,0,,0,,0,,0,,
141,5.132057,,0,,0,,0,,0,,
142,5.079055,,0,,0,,0,,0,,
143,5.026052,,0,,0,,0,,0,,
144,4.97305,,0,,0,,0,,0,,
145,4.920047,,0,,0,,0,,0,,
146,4.867045,,0,,0,,0,,0,,
147,4.814043,,0,,0,,0,,0,,
148,4.76104,,0,,0,,0,,0,,
149,4.708037,,0,,0,,0,,0,,
150,4.655035,,0,,0,,0,,0,,
151,4.655035,,0,,0,,0,,0,,
152,4.537204,,0,,0,,0,,0,,
153,4.467635,,0,,0,,0,,0,,
154,4.467635,,0,,0,,0,,0,,
155,4.332256,,0,,0,,0,,0,,
156,4.270418,,0,,0,,0,,0,,
157,4.20858,,0,,0,,0,,0,,
158,4.146741,,0,,0,,0,,0,,
159,4.146741,,0,,0,,0,,0,,
160,4.021071,,0,,0,,0,,0,,
161,3.956141,,0,,0,,0,,0,,
162,3.891212,,0,,0,,0,,0,,
163,3.826282,,0,,0,,0,,0,,
164,3.761353,,0,,0,,0,,0,,
165,3.696423,,0,,0,,0,,0,,
166,3.631493,,0,,0,,0,,0,,
167,3.631493,,0,,0,,0,,0,,
168,3.498964,,0,,0,,0,,0,,
169,3.4294,,0,,0,,0,,0,,
170,3.4294,,0,,0,,0,,0,,
171,3.305278,,0,,0,,0,,0,,
172,3.278775,,0,,0,,0,,0,,
173,3.252273,,0,,0,,0,,0,,
174,3.225771,,0,,0,,0,,0,,
175,3.199268,,0,,0,,0,,0,,
176,3.172766,,0,,0,,0,,0,,
177,3.146264,,0,,0,,0,,0,,
178,3.119761,,0,,0,,0,,0,,
179,3.093259,,0,,0,,0,,0,,
180,3.066757,,0,,0,,0,,0,,
181,3.066757,,0,,0,,0,,0,,
182,3.015134,,0,,0,,0,,0,,
183,3.015134,,0,,0,,0,,0,,
184,3.015134,,0,,0,,0,,0,,
185,3.015134,,0,,0,,0,,0,,
186,3.015134,,0,,0,,0,,0,,
187,3.015134,,0,,0,,0,,0,,
188,3.015134,,0,,0,,0,,0,,
189,3.015134,,0,,0,,0,,0,,
190,3.015134,,0,,0,,0,,0,,
191,3.015134,,0,,0,,0,,0,,
192,3.015134,,0,,0,,0,,0,,
193,3.015134,,0,,0,,0,,0,,
194,3.015134,,0,,0,,0,,0,,
195,3.015134,,0,,0,,0,,0,,
196,3.015134,,0,,0,,0,,0,,
197,3.028494,,0,,0,,0,,0,,
198,3.053791,,0,,0,,0,,0,,
199,3.079089,,0,,0,,0,,0,,
200,3.104386,,0,,0,,0,,0,,
201,3.129683,,0,,0,,0,,0,,
202,3.154981,,0,,0,,0,,0,,
203,3.180278,,0,,0,,0,,0,,
204,3.205575,,0,,0,,0,,0,,
205,3.230873,,0,,0,,0,,0,,
206,3.25617,,0,,0,,0,,0,,
207,3.281467,,0,,0,,0,,0,,
208,3.306765,,0,,0,,0,,0,,
209,3.332062,,0,,0,,0,,0,,
210,3.357359,,0,,0,,0,,0,,
211,3.382657,,0,,0,,0,,0,,
212,3.407954,,0,,0,,0,,0,,
213,3.433251,,0,,0,,0,,0,,
214,3.433251,,0,,0,,0,,0,,
215,3.500217,,0,,0,,0,,0,,
216,3.546596,,0,,0,,0,,0,,
217,3.592974,,0,,0,,0,,0,,
218,3.639353,,0,,0,,0,,0,,
219,3.685731,,0,,0,,0,,0,,
220,3.73211,,0,,0,,0,,0,,
221,3.778488,,0,,0,,0,,0,,
222,3.824867,,0,,0,,0,,0,,
223,3.871245,,0,,0,,0,,0,,
224,3.917624,,0,,0,,0,,0,,
225,3.964002,,0,,0,,0,,0,,
226,4.010381,,0,,0,,0,,0,,
227,4.056759,,0,,0,,0,,0,,
228,4.103137,,0,,0,,0,,0,,
229,4.149516,,0,,0,,0,,0,,
230,4.195895,,0,,0,,0,,0,,
231,4.242273,,0,,0,,0,,0,,
232,4.288651,,0,,0,,0,,0,,
233,4.33503,,0,,0,,0,,0,,
234,4.381409,,0,,0,,0,,0,,
235,4.381409,,0,,0,,0,,0,,
236,4.482702,,0,,0,,0,,0,,
237,4.539783,,0,,0,,0,,0,,
238,4.596864,,0,,0,,0,,0,,
239,4.653944,,0,,0,,0,,0,,
240,4.711026,,0,,0,,0,,0,,
241,4.768106,,0,,0,,0,,0,,
242,4.825188,,0,,0,,0,,0,,
243,4.882268,,0,,0,,0,,0,,
244,4.93935,,0,,0,,0,,0,,
245,4.99643,,0,,0,,0,,0,,
246,5.053512,,0,,0,,0,,0,,
247,5.110592,,0,,0,,0,,0,,
248,5.167674,,0,,0,,0,,0,,
249,5.224754,,0,,0,,0,,0,,
250,5.281836,,0,,0,,0,,0,,
251,5.338916,,0,,0,,0,,0,,
252,5.395998,,0,,0,,0,,0,,
253,5.453078,,0,,0,,0,,0,,
254,5.510159,,0,,0,,0,,0,,
255,5.56724,,0,,0,,0,,0,,
256,5.56724,,0,,0,,0,,0,,
257,5.676092,,0,,0,,0,,0,,
258,5.726686,,0,,0,,0,,0,,
259,5.77728,,0,,0,,0,,0,,
260,5.827874,,0,,0,,0,,0,,
261,5.878468,,0,,0,,0,,0,,
262,5.929062,,0,,0,,0,,0,,
263,5.979656,,0,,0,,0,,0,,
264,6.03025,,0,,0,,0,,0,,
265,6.080844,,0,,0,,0,,0,,
266,6.131438,,0,,0,,0,,0,,
267,6.182032,,0,,0,,0,,0,,
268,6.232626,,0,,0,,0,,0,,
269,6.28322,,0,,0,,0,,0,,
270,6.333814,,0,,0,,0,,0,,
271,6.384408,,0,,0,,0,,0,,
272,6.435002,,0,,0,,0,,0,,
273,6.435002,,0,,0,,0,,0,,
274,6.53281,6.53281,,0,,0,,0,,0,
275,6.53281,,0,,0,,0,,0,,
276,6.553828,,0,,0,,0,,0,,
277,6.600205,,0,,0,,0,,0,,
278,6.646584,,0,,0,,0,,0,,
279,6.692961,,0,,0,,0,,0,,
280,6.739339,,0,,0,,0,,0,,
281,6.785717,,0,,0,,0,,0,,
282,6.832095,,0,,0,,0,,0,,
283,6.878473,,0,,0,,0,,0,,
284,6.924851,,0,,0,,0,,0,,
285,6.971229,,0,,0,,0,,0,,
286,7.017607,,0,,0,,0,,0,,
287,7.063985,,0,,0,,0,,0,,
288,7.110363,,0,,0,,0,,0,,
289,7.156741,,0,,0,,0,,0,,
290,7.203119,,0,,0,,0,,0,,
291,7.249496,,0,,0,,0,,0,,
292,7.295875,,0,,0,,0,,0,,
293,7.342252,,0,,0,,0,,0,,
294,7.342252,,0,,0,,0,,0,,
295,7.435009,,0,,0,,0,,0,,
296,7.435009,,0,,0,,0,,0,,
297,7.524101,,0,,0,,0,,0,,
298,7.562749,,0,,0,,0,,0,,
299,7.601398,,0,,0,,0,,0,,
300,7.640046,,0,,0,,0,,0,,
301,7.678694,,0,,0,,0,,0,,
302,7.717341,,0,,0,,0,,0,,
303,7.75599,,0,,0,,0,,0,,
304,7.794638,,0,,0,,0,,0,,
305,7.833286,,0,,0,,0,,0,,
306,7.833286,,0,,0,,0,,0,,
307,7.916698,,0,,0,,0,,0,,
308,7.963077,,0,,0,,0,,0,,
309,7.963077,,0,,0,,0,,0,,
310,8.042761,,0,,0,,0,,0,,
311,8.065951,,0,,0,,0,,0,,
312,8.065951,,0,,0,,0,,0,,
313,8.112331,,0,,0,,0,,0,,
314,8.135521,,0,,0,,0,,0,,
315,8.15871,,0,,0,,0,,0,,
316,8.1819,,0,,0,,0,,0,,
317,8.20509,,0,,0,,0,,0,,
318,8.228278,,0,,0,,0,,0,,
319,8.228278,,0,,0,,0,,0,,
320,8.254221,,0,,0,,0,,0,,
321,8.254221,,0,,0,,0,,0,,
322,8.254221,,0,,0,,0,,0,,
323,8.254221,,0,,0,,0,,0,,
324,8.254221,,0,,0,,0,,0,,
325,8.254221,,0,,0,,0,,0,,
326,8.254221,,0,,0,,0,,0,,
327,8.254221,,0,,0,,0,,0,,
328,8.254221,,0,,0,,0,,0,,
329,8.251151,,0,,0,,0,,0,,
330,8.235692,,0,,0,,0,,0,,
331,8.220233,,0,,0,,0,,0,,
332,8.204774,,0,,0,,0,,0,,
333,8.204774,,0,,0,,0,,0,,
334,8.176064,,0,,0,,0,,0,,
335,8.166789,,0,,0,,0,,0,,
336,8.157514,,0,,0,,0,,0,,
337,8.148238,,0,,0,,0,,0,,
338,8.138963,,0,,0,,0,,0,,
339,8.129687,,0,,0,,0,,0,,
340,8.120411,,0,,0,,0,,0,,
341,8.120411,,0,,0,,0,,0,,
342,8.104533,,0,,0,,0,,0,,
343,8.104533,,0,,0,,0,,0,,
344,8.104533,,0,,0,,0,,0,,
345,8.104533,,0,,0,,0,,0,,
346,8.104533,,0,,0,,0,,0,,
347,8.104533,,0,,0,,0,,0,,
348,8.104533,,0,,0,,0,,0,,
